date,time,pid,tid,Phase,Target,Vel,V,A,,
9/26/2025,10:55.6,5399,9060,RampUp,759.5903729800001,760,12.751,317,,0.1%
9/26/2025,10:55.6,5399,9060,RampUp,761.2002272,760,12.756,295,,-0.2%
9/26/2025,10:55.6,5399,9060,RampUp,763.0865641400001,760,12.751,295,,-0.4%
9/26/2025,10:55.6,5399,9060,RampUp,765.1275369,780,12.751,287,,1.9%
9/26/2025,10:55.6,5399,9060,RampUp,766.7843086800001,780,12.756,277,,1.7%
9/26/2025,10:55.6,5399,9060,RampUp,768.4337305800001,800,12.751,273,,4.1%
9/26/2025,10:55.6,5399,9060,RampUp,770.0544057199999,800,12.756,273,,3.9%
9/26/2025,10:55.6,5399,9060,RampUp,771.6386575,800,12.756,255,,3.7%
9/26/2025,10:55.7,5399,9060,RampUp,773.364356,780,12.756,236,,0.9%
9/26/2025,10:55.7,5399,9060,RampUp,775.146772,780,12.756,225,,0.6%
9/26/2025,10:55.7,5399,9060,RampUp,777.1052205400001,760,12.756,240,,-2.2%
9/26/2025,10:55.7,5399,9060,RampUp,779.4623249399999,760,12.751,346,,-2.5%
9/26/2025,10:55.7,5399,9060,RampUp,781.3322468399999,780,12.756,342,,-0.2%
9/26/2025,10:55.7,5399,9060,RampUp,783.2989437400001,800,12.756,328,,2.1%
9/26/2025,10:55.7,5399,9060,RampUp,785.224358,820,12.756,269,,4.4%
9/26/2025,10:55.8,5399,9060,RampUp,787.5788082800001,820,12.756,229,,4.1%
9/26/2025,10:55.8,5399,9060,RampUp,789.4627359200001,820,12.756,215,,3.9%
9/26/2025,10:55.8,5399,9060,RampUp,791.3790853200001,800,12.756,211,,1.1%
9/26/2025,10:55.8,5399,9060,RampUp,793.3486406,800,12.751,258,,0.8%
9/26/2025,10:55.8,5399,9060,RampUp,795.3086816200001,780,12.756,280,,-1.9%
9/26/2025,10:55.8,5399,9060,RampUp,797.2583917600001,780,12.751,284,,-2.2%
9/26/2025,10:55.8,5399,9060,RampUp,799.2344394,780,12.756,277,,-2.4%
9/26/2025,10:55.9,5399,9060,RampUp,801.1336796799999,800,12.751,309,,-0.1%
9/26/2025,10:55.9,5399,9060,RampUp,803.4183865800001,800,12.747,324,,-0.4%
9/26/2025,10:55.9,5399,9060,RampUp,805.6966417199999,800,12.751,313,,-0.7%
9/26/2025,10:55.9,5399,9060,RampUp,807.7201378799999,820,12.751,295,,1.5%
9/26/2025,10:55.9,5399,9060,RampUp,809.7246871,840,12.756,291,,3.7%
9/26/2025,10:55.9,5399,9060,RampUp,811.4879932,840,12.751,287,,3.5%
9/26/2025,10:55.9,5399,9060,RampUp,813.2036467,840,12.756,280,,3.3%
9/26/2025,10:55.9,5399,9060,RampUp,815.3195485800001,840,12.756,277,,3.0%
9/26/2025,10:56.0,5399,9060,RampUp,816.9831804799999,840,12.756,266,,2.8%
9/26/2025,10:56.0,5399,9060,RampUp,818.6179839,840,12.756,240,,2.6%
9/26/2025,10:56.0,5399,9060,RampUp,820.2716116,840,12.756,233,,2.4%
9/26/2025,10:56.0,5399,9060,RampUp,821.9440225200001,840,12.751,236,,2.2%
9/26/2025,10:56.0,5399,9060,RampUp,824.0055752999999,820,12.756,247,,-0.5%
9/26/2025,10:56.0,5399,9060,RampUp,825.6848054,820,12.751,295,,-0.7%
9/26/2025,10:56.0,5399,9060,RampUp,827.2660355800001,820,12.751,298,,-0.9%
9/26/2025,10:56.0,5399,9060,RampUp,828.8632316000001,820,12.751,291,,-1.1%
9/26/2025,10:56.1,5399,9060,RampUp,830.3735751199999,820,12.751,287,,-1.2%
9/26/2025,10:56.1,5399,9060,RampUp,831.9252827600001,820,12.756,284,,-1.4%
9/26/2025,10:56.1,5399,9060,RampUp,833.4083903999998,840,12.756,280,,0.8%
9/26/2025,10:56.1,5399,9060,RampUp,834.9369047,840,12.751,280,,0.6%
9/26/2025,10:56.1,5399,9060,RampUp,836.4853865600002,840,12.751,273,,0.4%
9/26/2025,10:56.1,5399,9060,RampUp,838.0257016999999,860,12.756,273,,2.6%
9/26/2025,10:56.1,5399,9060,RampUp,839.5215084600001,840,12.751,273,,0.1%
9/26/2025,10:56.1,5399,9060,RampUp,841.0315254,840,12.751,277,,-0.1%
9/26/2025,10:56.1,5399,9060,RampUp,842.5725755,840,12.751,273,,-0.3%
9/26/2025,10:56.2,5399,9060,RampUp,844.1657698,840,12.751,269,,-0.5%
9/26/2025,10:56.2,5399,9060,RampUp,845.6736632800001,840,12.751,273,,-0.7%
9/26/2025,10:56.2,5399,9060,RampUp,847.3612643000001,840,12.751,273,,-0.9%
